 10.31	1381938	1381938	U	0	unclassified
 89.69	12019466	2816	R	1	root
 89.64	12013435	1379	R1	131567	  cellular organisms
 82.26	11023936	0	D	2759	    Eukaryota
 82.26	11023936	0	D1	33154	      Opisthokonta
 82.26	11023936	0	K	33208	        Metazoa
 82.26	11023936	0	K1	6072	          Eumetazoa
 82.26	11023936	0	K2	33213	            Bilateria
 82.26	11023936	0	K3	33511	              Deuterostomia
 82.26	11023936	0	P	7711	                Chordata
 82.26	11023936	0	P1	89593	                  Craniata
 82.26	11023936	0	P2	7742	                    Vertebrata
 82.26	11023936	0	P3	7776	                      Gnathostomata
 82.26	11023936	0	P4	117570	                        Teleostomi
 82.26	11023936	0	P5	117571	                          Euteleostomi
 82.26	11023936	0	P6	8287	                            Sarcopterygii
 82.26	11023936	0	P7	1338369	                              Dipnotetrapodomorpha
 82.26	11023936	0	P8	32523	                                Tetrapoda
 82.26	11023936	0	P9	32524	                                  Amniota
 82.26	11023936	0	C	40674	                                    Mammalia
 82.26	11023936	0	C1	32525	                                      Theria
 82.26	11023936	0	C2	9347	                                        Eutheria
 82.26	11023936	0	C3	1437010	                                          Boreoeutheria
 82.26	11023936	0	C4	314146	                                            Euarchontoglires
 82.26	11023936	0	O	9443	                                              Primates
 82.26	11023936	0	O1	376913	                                                Haplorrhini
 82.26	11023936	0	O2	314293	                                                  Simiiformes
 82.26	11023936	0	O3	9526	                                                    Catarrhini
 82.26	11023936	0	O4	314295	                                                      Hominoidea
 82.26	11023936	0	F	9604	                                                        Hominidae
 82.26	11023936	0	F1	207598	                                                          Homininae
 82.26	11023936	0	G	9605	                                                            Homo
 82.26	11023936	11023936	S	9606	                                                              Homo sapiens
  7.37	987802	5617	D	2	    Bacteria
  6.87	920781	9341	D1	1783272	      Terrabacteria group
  3.49	468325	40	P	201174	        Actinobacteria
  3.49	467869	320	C	1760	          Actinobacteria
  3.47	465203	0	O	85004	            Bifidobacteriales
  3.47	465203	540	F	31953	              Bifidobacteriaceae
  3.46	463206	0	G	2701	                Gardnerella
  3.46	463206	353743	S	2702	                  Gardnerella vaginalis
  0.71	95066	95066	S1	1009464	                    Gardnerella vaginalis HMP9231
  0.11	14079	14079	S1	553190	                    Gardnerella vaginalis 409-05
  0.00	318	318	S1	525284	                    Gardnerella vaginalis ATCC 14019
  0.01	1256	262	G	1678	                Bifidobacterium
  0.00	420	361	S	216816	                  Bifidobacterium longum
  0.00	32	9	S1	1679	                    Bifidobacterium longum subsp. longum
  0.00	21	21	S2	890402	                      Bifidobacterium longum subsp. longum BBMN68
  0.00	2	2	S2	722911	                      Bifidobacterium longum subsp. longum F8
  0.00	17	17	S1	206672	                    Bifidobacterium longum NCC2705
  0.00	8	2	S1	1682	                    Bifidobacterium longum subsp. infantis
  0.00	5	5	S2	565040	                      Bifidobacterium longum subsp. infantis 157F
  0.00	1	1	S2	391904	                      Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088
  0.00	1	1	S1	205913	                    Bifidobacterium longum DJO10A
  0.00	1	1	S1	1322347	                    Bifidobacterium longum E18
  0.00	85	0	S	28026	                  Bifidobacterium pseudocatenulatum
  0.00	85	85	S1	547043	                    Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505
  0.00	73	43	S	1694	                  Bifidobacterium pseudolongum
  0.00	28	0	S1	1690	                    Bifidobacterium pseudolongum subsp. globosum
  0.00	28	28	S2	1410605	                      Bifidobacterium pseudolongum subsp. globosum DSM 20092
  0.00	2	2	S1	1447715	                    Bifidobacterium pseudolongum PV8-2
  0.00	62	51	S	1681	                  Bifidobacterium bifidum
  0.00	7	7	S1	883062	                    Bifidobacterium bifidum S17
  0.00	4	4	S1	702459	                    Bifidobacterium bifidum PRL2010
  0.00	59	46	S	1683	                  Bifidobacterium angulatum
  0.00	13	13	S1	518635	                    Bifidobacterium angulatum DSM 20098 = JCM 7096
  0.00	56	0	S	33905	                  Bifidobacterium thermophilum
  0.00	56	56	S1	1254439	                    Bifidobacterium thermophilum RBL67
  0.00	52	47	S	1685	                  Bifidobacterium breve
  0.00	2	2	S1	866777	                    Bifidobacterium breve ACS-071-V-Sch8b
  0.00	2	2	S1	1385940	                    Bifidobacterium breve JCM 7019
  0.00	1	1	S1	1385939	                    Bifidobacterium breve JCM 7017
  0.00	40	39	S	1680	                  Bifidobacterium adolescentis
  0.00	1	1	S1	367928	                    Bifidobacterium adolescentis ATCC 15703
  0.00	37	0	S	630129	                  Bifidobacterium kashiwanohense
  0.00	19	19	S1	1150460	                    Bifidobacterium kashiwanohense JCM 15439 = DSM 21854
  0.00	18	18	S1	1447716	                    Bifidobacterium kashiwanohense PV20-2
  0.00	33	26	S	28025	                  Bifidobacterium animalis
  0.00	7	7	S1	302912	                    Bifidobacterium animalis subsp. animalis
  0.00	30	30	S	1689	                  Bifidobacterium dentium
  0.00	20	0	S	1691	                  Bifidobacterium indicum
  0.00	20	20	S1	1341694	                    Bifidobacterium indicum LMG 11587 = DSM 20214
  0.00	12	12	S	1687	                  Bifidobacterium coryneforme
  0.00	7	0	S	1686	                  Bifidobacterium catenulatum
  0.00	7	7	S1	566552	                    Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043
  0.00	3	3	S	35760	                  Bifidobacterium choerinum
  0.00	3	0	S	158787	                  Bifidobacterium scardovii
  0.00	3	3	S1	1150461	                    Bifidobacterium scardovii JCM 12489 = DSM 13734
  0.00	1	1	S	1684	                  Bifidobacterium asteroides
  0.00	1	0	S	638619	                  Bifidobacterium actinocoloniiforme
  0.00	1	1	S1	1437605	                    Bifidobacterium actinocoloniiforme DSM 22766
  0.00	187	0	G	196081	                Scardovia
  0.00	187	0	S	78259	                  Scardovia inopinata
  0.00	187	187	S1	1150468	                    Scardovia inopinata JCM 12537
  0.00	14	0	G	196082	                Parascardovia
  0.00	14	0	S	78258	                  Parascardovia denticolens
  0.00	14	14	S1	864564	                    Parascardovia denticolens DSM 10105 = JCM 12538
  0.01	1139	12	O	85007	            Corynebacteriales
  0.01	875	0	F	1653	              Corynebacteriaceae
  0.01	875	95	G	1716	                Corynebacterium
  0.00	294	294	S	146827	                  Corynebacterium simulans
  0.00	99	0	S	161879	                  Corynebacterium kroppenstedtii
  0.00	99	99	S1	645127	                    Corynebacterium kroppenstedtii DSM 44385
  0.00	61	0	S	258224	                  Corynebacterium resistens
  0.00	61	61	S1	662755	                    Corynebacterium resistens DSM 45100
  0.00	41	0	S	160386	                  Corynebacterium casei
  0.00	41	41	S1	1285583	                    Corynebacterium casei LMG S-19264
  0.00	33	33	S	35755	                  Corynebacterium kutscheri
  0.00	24	24	S	43770	                  Corynebacterium striatum
  0.00	14	14	S	2080740	                  Corynebacterium sp. 2183
  0.00	14	14	S	161899	                  Corynebacterium singulare
  0.00	12	0	S	38288	                  Corynebacterium genitalium
  0.00	12	12	S1	585529	                    Corynebacterium genitalium ATCC 33030
  0.00	11	11	S	1652495	                  Corynebacterium crudilactis
  0.00	11	11	S	191610	                  Corynebacterium atypicum
  0.00	10	10	S	1717	                  Corynebacterium diphtheriae
  0.00	9	0	S	169292	                  Corynebacterium aurimucosum
  0.00	9	9	S1	548476	                    Corynebacterium aurimucosum ATCC 700975
  0.00	8	8	S	1697	                  Corynebacterium ammoniagenes
  0.00	7	7	S	1705	                  Corynebacterium stationis
  0.00	7	7	S	1050174	                  Corynebacterium epidermidicanis
  0.00	6	6	S	28028	                  Corynebacterium flavescens
  0.00	6	6	S	156976	                  Corynebacterium riegelii
  0.00	5	4	S	1718	                  Corynebacterium glutamicum
  0.00	1	1	S1	340322	                    Corynebacterium glutamicum R
  0.00	5	0	S	349751	                  Corynebacterium marinum
  0.00	5	5	S1	1224162	                    Corynebacterium marinum DSM 44953
  0.00	5	5	S	401472	                  Corynebacterium ureicelerivorans
  0.00	5	0	S	191493	                  Corynebacterium sphenisci
  0.00	5	5	S1	1437874	                    Corynebacterium sphenisci DSM 44792
  0.00	5	1	S	38289	                  Corynebacterium jeikeium
  0.00	4	4	S1	306537	                    Corynebacterium jeikeium K411
  0.00	5	5	S	702967	                  Corynebacterium sp. NML98-0116
  0.00	5	5	S	1072256	                  Corynebacterium uterequi
  0.00	5	0	S	1230998	                  Corynebacterium frankenforstense
  0.00	5	5	S1	1437875	                    Corynebacterium frankenforstense DSM 45800
  0.00	5	5	S	136857	                  Corynebacterium testudinoris
  0.00	4	0	S	42817	                  Corynebacterium argentoratense
  0.00	4	4	S1	1348662	                    Corynebacterium argentoratense DSM 44202
  0.00	4	4	S	441500	                  Corynebacterium timonense
  0.00	4	4	S	187491	                  Corynebacterium glaucum
  0.00	4	0	S	108486	                  Corynebacterium falsenii
  0.00	4	4	S1	1451189	                    Corynebacterium falsenii DSM 44353
  0.00	3	0	S	1223514	                  Corynebacterium humireducens
  0.00	3	3	S1	1223515	                    Corynebacterium humireducens NBRC 106098 = DSM 45392
  0.00	3	0	S	1121358	                  Corynebacterium doosanense
  0.00	3	3	S1	558173	                    Corynebacterium doosanense CAU 212 = DSM 45436
  0.00	3	0	S	575200	                  Corynebacterium maris
  0.00	3	3	S1	1224163	                    Corynebacterium maris DSM 45190
  0.00	3	3	S	1487956	                  Corynebacterium sp. ATCC 6931
  0.00	3	3	S	2079535	                  Corynebacterium sp. 2184
  0.00	3	3	S	65058	                  Corynebacterium ulcerans
  0.00	3	0	S	203263	                  Corynebacterium aquilae
  0.00	3	3	S1	1431546	                    Corynebacterium aquilae DSM 44791
  0.00	3	3	S	161895	                  Corynebacterium phocae
  0.00	3	3	S	156978	                  Corynebacterium imitans
  0.00	3	0	S	38305	                  Corynebacterium vitaeruminis
  0.00	3	3	S1	1224164	                    Corynebacterium vitaeruminis DSM 20294
  0.00	2	1	S	43771	                  Corynebacterium urealyticum
  0.00	1	1	S1	1267754	                    Corynebacterium urealyticum DSM 7111
  0.00	2	0	S	1727	                  Corynebacterium variabile
  0.00	2	2	S1	858619	                    Corynebacterium variabile DSM 44702
  0.00	2	0	S	89154	                  Corynebacterium terpenotabidum
  0.00	2	2	S1	1200352	                    Corynebacterium terpenotabidum Y-11
  0.00	2	2	S	1719	                  Corynebacterium pseudotuberculosis
  0.00	2	0	S	1408191	                  Corynebacterium deserti
  0.00	2	2	S1	931089	                    Corynebacterium deserti GIMN1.010
  0.00	2	0	S	1231000	                  Corynebacterium lactis
  0.00	2	2	S1	1408189	                    Corynebacterium lactis RW2-5
  0.00	2	0	S	1721	                  Corynebacterium callunae
  0.00	2	2	S1	1121353	                    Corynebacterium callunae DSM 20147
  0.00	2	2	S	161896	                  Corynebacterium camporealensis
